code,name,change_rate,trade_value,volume,open_price,current_price
005930,삼성전자,3.2,812000000000,12450000,72800,75200
000660,SK하이닉스,7.8,1350000000000,6890000,181000,195100
009150,삼성전기,1.1,145000000000,930000,151000,152700
086520,에코프로,-2.4,98000000000,520000,94200,91900
247540,에코프로비엠,5.6,286000000000,1510000,191000,201700
373220,LG에너지솔루션,2.9,420000000000,1020000,386000,397200
012450,한화에어로스페이스,9.4,512000000000,1740000,223000,244000
064350,현대로템,4.7,231000000000,4320000,38600,40400
196170,알테오젠,11.2,612000000000,2510000,219000,243500
068270,셀트리온,-0.8,176000000000,820000,184000,182500
035720,카카오,2.1,167000000000,4100000,42800,43700
035420,NAVER,0.6,198000000000,980000,178000,179100
